materials  IE_A  IE_B  X_A  X_B  xA  xB  Vcell_over_Vatom
ThP                   6.08300  10.48000  1.30000  2.19000  0.50000  0.50000  0.84189
ThS                   6.08300  10.36000  1.30000  2.58000  0.50000  0.50000  0.90228
ThSb                  6.08300  8.64300  1.30000  2.05000  0.50000  0.50000  0.75919
ThSe                  6.08300  9.75200  1.30000  2.55000  0.50000  0.50000  0.86289
ThAs                  6.08300  9.81400  1.30000  2.18000  0.50000  0.50000  0.81780
UC                    6.19300  11.26000  1.38000  2.55000  0.50000  0.50000  1.09421
UN                    6.19300  14.53000  1.38000  3.04000  0.50000  0.50000  1.13161
USe                   6.19300  9.75200  1.38000  2.55000  0.50000  0.50000  0.81248
UTe                   6.19300  9.00900  1.38000  2.10000  0.50000  0.50000  0.72669
NpAs                  6.26500  9.81400  1.36000  2.18000  0.50000  0.50000  0.72025
NpC                   6.26500  11.26000  1.36000  2.55000  0.50000  0.50000  0.97704
NpN                   6.26500  14.53000  1.36000  3.04000  0.50000  0.50000  1.01533
NpP                   6.26500  10.48000  1.36000  2.19000  0.50000  0.50000  0.76470
NpSb                  6.26500  8.64300  1.36000  2.05000  0.50000  0.50000  0.65441
NpTe                  6.26500  9.00900  1.36000  2.10000  0.50000  0.50000  0.66631
PuBi                  6.05900  7.28600  1.28000  2.02000  0.50000  0.50000  0.64004
PuC                   6.05900  11.26000  1.28000  2.55000  0.50000  0.50000  0.95012
PuN                   6.05900  14.53000  1.28000  3.04000  0.50000  0.50000  0.97867
PuP                   6.05900  10.48000  1.28000  2.19000  0.50000  0.50000  0.76098
PuS                   6.05900  10.36000  1.28000  2.58000  0.50000  0.50000  0.75763
PuSb                  6.05900  8.64300  1.28000  2.05000  0.50000  0.50000  0.63674
La4As3                5.57700  9.81400  1.10000  2.18000  0.57100  0.42900  0.87131
La4Sb3                5.57700  8.64300  1.10000  2.05000  0.57100  0.42900  0.81050
Sm4As3                5.64300  9.81400  1.17000  2.18000  0.57100  0.42900  0.87689
Ce4Bi3                5.53800  7.28600  1.12000  2.02000  0.57100  0.42900  0.80847
Eu4Bi3                5.67000  7.28600  1.18000  2.02000  0.57100  0.42900  0.68320
Gd4Bi3                6.15000  7.28600  1.20000  2.02000  0.57100  0.42900  0.80736
Nd4Bi3                5.52500  7.28600  1.14000  2.02000  0.57100  0.42900  0.81195
Pr4Bi3                5.46100  7.28600  1.13000  2.02000  0.57100  0.42900  0.81786
Tb4Bi3                5.86400  7.28600  1.21000  2.02000  0.57100  0.42900  0.80522
Yb4Bi3                6.25300  7.28600  1.25000  2.02000  0.57100  0.42900  0.69682
Ce4Sb3                5.53800  8.64300  1.12000  2.05000  0.57100  0.42900  0.81826
Dy4Sb3                5.93800  8.64300  1.22000  2.05000  0.57100  0.42900  0.80489
Gd4Sb3                6.15000  8.64300  1.20000  2.05000  0.57100  0.42900  0.81606
Nd4Sb3                5.52500  8.64300  1.14000  2.05000  0.57100  0.42900  0.82305
Pr4Sb3                5.46100  8.64300  1.13000  2.05000  0.57100  0.42900  0.84832
Sm4Sb3                5.64300  8.64300  1.17000  2.05000  0.57100  0.42900  0.81460
Tb4Sb3                5.86400  8.64300  1.21000  2.05000  0.57100  0.42900  0.80965
U3As4                 6.19300  9.81400  1.38000  2.18000  0.42900  0.57100  0.79315
Th3Bi4                6.08300  7.28600  1.30000  2.02000  0.42900  0.57100  0.75109
Gd3Sb4                6.15000  8.64300  1.20000  2.05000  0.42900  0.57100  0.71068
La3Se4                5.57700  9.75200  1.10000  2.55000  0.42900  0.57100  0.89550
Nd3Se4                5.52500  9.75200  1.14000  2.55000  0.42900  0.57100  0.74856
U3P4                  6.19300  10.48000  1.38000  2.19000  0.42900  0.57100  0.83105
IrO2                  9.12100  13.61000  2.20000  3.44000  0.33300  0.66700  0.44352
RuO2                  7.36100  13.61000  2.22000  3.44000  0.33300  0.66700  0.46221
PtAl2                 9.01700  5.98500  2.28000  1.61000  0.33300  0.66700  0.49176
AcH2                  5.17200  13.59000  1.10000  2.20000  0.33300  0.66700  0.91895
AuGa2                 9.22500  5.99800  2.54000  1.81000  0.33300  0.66700  0.45916
AuIn2                 9.22500  5.78600  2.54000  1.78000  0.33300  0.66700  0.50145
CoSi2                 7.88000  8.15100  1.88000  1.90000  0.33300  0.66700  0.51642
DyH2                  5.93800  13.59000  1.22000  2.20000  0.33300  0.66700  0.85005
ErH2                  6.10700  13.59000  1.24000  2.20000  0.33300  0.66700  0.84875
GdH2                  6.15000  13.59000  1.20000  2.20000  0.33300  0.66700  0.85361
TiH2                  6.82700  13.59000  1.54000  2.20000  0.33300  0.66700  0.78217
YH2                   6.21800  13.59000  1.22000  2.20000  0.33300  0.66700  0.82203
SmH2                  5.64300  13.59000  1.17000  2.20000  0.33300  0.66700  0.84631
ThH2                  6.08300  13.59000  1.30000  2.20000  0.33300  0.66700  1.02145
HoH2                  6.02100  13.59000  1.23000  2.20000  0.33300  0.66700  0.86790
LuH2                  5.42500  13.59000  1.27000  2.20000  0.33300  0.66700  0.86723
NbH2                  6.75800  13.59000  1.60000  2.20000  0.33300  0.66700  0.78790
NpH2                  6.26500  13.59000  1.36000  2.20000  0.33300  0.66700  0.75786
PuH2                  6.05900  13.59000  1.28000  2.20000  0.33300  0.66700  0.71839
TbH2                  5.86400  13.59000  1.21000  2.20000  0.33300  0.66700  0.85426
TmH2                  6.18400  13.59000  1.25000  2.20000  0.33300  0.66700  0.87904
NiSi2                 7.63900  8.15100  1.91000  1.90000  0.33300  0.66700  0.49529
PtSn2                 9.01700  7.34400  2.28000  1.96000  0.33300  0.66700  0.49638
PrTl                  5.46100  6.10800  1.13000  1.62000  0.50000  0.50000  0.80913
ThBi                  6.08300  7.28600  1.30000  2.02000  0.50000  0.50000  0.84041
CeTl                  5.53800  6.10800  1.12000  1.62000  0.50000  0.50000  0.82237
DyIn                  5.93800  5.78600  1.22000  1.78000  0.50000  0.50000  0.76429
DyTl                  5.93800  6.10800  1.22000  1.62000  0.50000  0.50000  0.80887
ErIn                  6.10700  5.78600  1.24000  1.78000  0.50000  0.50000  0.76675
ErTl                  6.10700  6.10800  1.24000  1.62000  0.50000  0.50000  0.80064
EuTl                  5.67000  6.10800  1.18000  1.62000  0.50000  0.50000  0.72375
HoTl                  6.02100  6.10800  1.23000  1.62000  0.50000  0.50000  0.81407
YbIn                  6.25300  5.78600  1.25000  1.78000  0.50000  0.50000  0.71327
LaTl                  5.57700  6.10800  1.10000  1.62000  0.50000  0.50000  0.81873
MgTl                  7.64500  6.10800  1.31000  1.62000  0.50000  0.50000  0.51332
NdTl                  5.52500  6.10800  1.14000  1.62000  0.50000  0.50000  0.82115
SmTl                  5.64300  6.10800  1.17000  1.62000  0.50000  0.50000  0.81880
TbTl                  5.86400  6.10800  1.21000  1.62000  0.50000  0.50000  0.81559
TmTl                  6.18400  6.10800  1.25000  1.62000  0.50000  0.50000  0.83956
FeAs                  7.90200  9.81400  1.83000  2.18000  0.50000  0.50000  0.60724
AuGa                  9.22500  5.99800  2.54000  1.81000  0.50000  0.50000  0.52353
CrP                   6.76600  10.48000  1.66000  2.19000  0.50000  0.50000  0.65389
FeP                   7.90200  10.48000  1.83000  2.19000  0.50000  0.50000  0.63048
MnP                   7.43400  10.48000  1.55000  2.19000  0.50000  0.50000  0.66379
NiSi                  7.63900  8.15100  1.91000  1.90000  0.50000  0.50000  0.56421
RuP                   7.36100  10.48000  2.22000  2.19000  0.50000  0.50000  0.63967
PdSn                  8.33700  7.34400  2.20000  1.96000  0.50000  0.50000  0.60376
PtSi                  9.01700  8.15100  2.28000  1.90000  0.50000  0.50000  0.54864
RhSi                  7.45900  8.15100  2.28000  1.90000  0.50000  0.50000  0.64292
VS                    6.74600  10.36000  1.63000  2.58000  0.50000  0.50000  0.70582
TiSe                  6.82700  9.75200  1.54000  2.55000  0.50000  0.50000  0.69585
MnAs                  7.43400  9.81400  1.55000  2.18000  0.50000  0.50000  0.53602
NiAs                  7.63900  9.81400  1.91000  2.18000  0.50000  0.50000  0.52607
AuSn                  9.22500  7.34400  2.54000  1.96000  0.50000  0.50000  0.48778
MnBi                  7.43400  7.28600  1.55000  2.02000  0.50000  0.50000  0.51086
PtBi                  9.01700  7.28600  2.28000  2.02000  0.50000  0.50000  0.54609
CoSb                  7.88000  8.64300  1.88000  2.05000  0.50000  0.50000  0.56249
CrSb                  6.76600  8.64300  1.66000  2.05000  0.50000  0.50000  0.53422
VP                    6.74600  10.48000  1.63000  2.19000  0.50000  0.50000  0.73877
PdSb                  8.33700  8.64300  2.20000  2.05000  0.50000  0.50000  0.55919
PdTe                  8.33700  9.00900  2.20000  2.10000  0.50000  0.50000  0.53234
PtSn                  9.01700  7.34400  2.28000  1.96000  0.50000  0.50000  0.54981
VSe                   6.74600  9.75200  1.63000  2.55000  0.50000  0.50000  0.64033
ReO3                  7.87700  13.61000  1.90000  3.44000  0.25000  0.75000  0.34254
